season,round,session,date,time
2025,2,sprint,2025-03-22,03:00:00Z
2025,2,qualifying,2025-03-22,07:00:00Z
2025,3,fp1,2025-04-04,02:30:00Z
2025,3,fp2,2025-04-04,06:00:00Z
2025,3,fp3,2025-04-05,02:30:00Z
2025,3,qualifying,2025-04-05,06:00:00Z
2025,4,fp1,2025-04-11,11:30:00Z
2025,4,fp2,2025-04-11,15:00:00Z
2025,4,fp3,2025-04-12,12:30:00Z
2025,4,qualifying,2025-04-12,16:00:00Z
2025,5,fp1,2025-04-18,13:30:00Z
2025,5,fp2,2025-04-18,17:00:00Z
2025,5,fp3,2025-04-19,13:30:00Z
2025,5,qualifying,2025-04-19,17:00:00Z
2025,6,fp1,2025-05-02,16:30:00Z
2025,6,sprint_qualifying,2025-05-02,20:30:00Z
2025,6,sprint,2025-05-03,16:00:00Z
2025,6,qualifying,2025-05-03,20:00:00Z
2025,7,fp1,2025-05-16,11:30:00Z
2025,7,fp2,2025-05-16,15:00:00Z
2025,7,fp3,2025-05-17,10:30:00Z
2025,7,qualifying,2025-05-17,14:00:00Z
2025,8,fp1,2025-05-23,11:30:00Z
2025,8,fp2,2025-05-23,15:00:00Z
2025,8,fp3,2025-05-24,10:30:00Z
2025,8,qualifying,2025-05-24,14:00:00Z
2025,9,fp1,2025-05-30,11:30:00Z
2025,9,fp2,2025-05-30,15:00:00Z
2025,9,fp3,2025-05-31,10:30:00Z
2025,9,qualifying,2025-05-31,14:00:00Z
2025,10,fp1,2025-06-13,17:30:00Z
2025,10,fp2,2025-06-13,21:00:00Z
2025,10,fp3,2025-06-14,16:30:00Z
2025,10,qualifying,2025-06-14,20:00:00Z
2025,11,fp1,2025-06-27,11:30:00Z
2025,11,fp2,2025-06-27,15:00:00Z
2025,11,fp3,2025-06-28,10:30:00Z
2025,11,qualifying,2025-06-28,14:00:00Z
2025,12,fp1,2025-07-04,11:30:00Z
2025,12,fp2,2025-07-04,15:00:00Z
2025,12,fp3,2025-07-05,10:30:00Z
2025,12,qualifying,2025-07-05,14:00:00Z
2025,13,fp1,2025-07-25,10:30:00Z
2025,13,sprint_qualifying,2025-07-25,14:30:00Z
2025,13,sprint,2025-07-26,10:00:00Z
2025,13,qualifying,2025-07-26,14:00:00Z
2025,14,fp1,2025-08-01,11:30:00Z
2025,14,fp2,2025-08-01,15:00:00Z
2025,14,fp3,2025-08-02,10:30:00Z
2025,14,qualifying,2025-08-02,14:00:00Z
2025,15,fp1,2025-08-29,10:30:00Z
2025,15,fp2,2025-08-29,14:00:00Z
2025,15,fp3,2025-08-30,09:30:00Z
2025,15,qualifying,2025-08-30,13:00:00Z
2025,16,fp1,2025-09-05,11:30:00Z
2025,16,fp2,2025-09-05,15:00:00Z
2025,16,fp3,2025-09-06,10:30:00Z
2025,16,qualifying,2025-09-06,14:00:00Z
2025,17,fp1,2025-09-19,08:30:00Z
2025,17,fp2,2025-09-19,12:00:00Z
2025,17,fp3,2025-09-20,08:30:00Z
2025,17,qualifying,2025-09-20,12:00:00Z
2025,18,fp1,2025-10-03,09:30:00Z
2025,18,fp2,2025-10-03,13:00:00Z
2025,18,fp3,2025-10-04,09:30:00Z
2025,18,qualifying,2025-10-04,13:00:00Z
2025,19,fp1,2025-10-17,17:30:00Z
2025,19,sprint_qualifying,2025-10-17,21:30:00Z
2025,19,sprint,2025-10-18,17:00:00Z
2025,19,qualifying,2025-10-18,21:00:00Z
2025,20,fp1,2025-10-24,18:30:00Z
2025,20,fp2,2025-10-24,22:00:00Z
2025,20,fp3,2025-10-25,17:30:00Z
2025,20,qualifying,2025-10-25,21:00:00Z
2025,21,fp1,2025-11-07,14:30:00Z
2025,21,sprint_qualifying,2025-11-07,18:30:00Z
2025,21,sprint,2025-11-08,14:00:00Z
2025,21,qualifying,2025-11-08,18:00:00Z
2025,22,fp1,2025-11-21,00:30:00Z
2025,22,fp2,2025-11-21,04:00:00Z
2025,22,fp3,2025-11-22,00:30:00Z
2025,22,qualifying,2025-11-22,04:00:00Z
2025,23,fp1,2025-11-28,13:30:00Z
2025,23,sprint_qualifying,2025-11-28,17:30:00Z
2025,23,sprint,2025-11-29,14:00:00Z
2025,23,qualifying,2025-11-29,18:00:00Z
2025,24,fp1,2025-12-05,09:30:00Z
2025,24,fp2,2025-12-05,13:00:00Z
2025,24,fp3,2025-12-06,10:30:00Z
2025,24,qualifying,2025-12-06,14:00:00Z
